gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
001968,01,2015-01-31,BMI,928375.0000,59.8600,0.8593,1,14449000,2015,452030,45
001968,01,2015-02-28,BMI,948596.0000,58.4000,-2.1216,2,14449000,2015,452030,45
001968,01,2015-03-31,BMI,1219317.0000,59.9400,2.6370,3,14454000,2015,452030,45
001968,01,2015-04-30,BMI,1677252.0000,62.2200,3.8038,4,14478000,2015,452030,45
001968,01,2015-05-31,BMI,1236465.0000,64.5200,4.0019,5,14478000,2015,452030,45
001968,01,2015-06-30,BMI,1778057.0000,63.4900,-1.5964,6,14478000,2015,452030,45
001968,01,2015-07-31,BMI,2642560.0000,58.8200,-7.3555,7,14513000,2015,452030,45
001968,01,2015-08-31,BMI,1671407.0000,58.2900,-0.5610,8,14513000,2015,452030,45
001968,01,2015-09-30,BMI,1449052.0000,58.0600,-0.3946,9,14513000,2015,452030,45
001968,01,2015-10-31,BMI,1931961.0000,60.5800,4.3403,10,14513000,2015,452030,45
001968,01,2015-11-30,BMI,1529381.0000,60.8300,0.7428,11,14513000,2015,452030,45
001968,01,2015-12-31,BMI,1378315.0000,58.5900,-3.6824,12,14513000,2015,452030,45
001968,01,2016-01-31,BMI,2336683.0000,55.8300,-4.7107,1,14513000,2016,452030,45
001968,01,2016-02-29,BMI,1890824.0000,65.6900,18.0190,2,14522000,2016,452030,45
001968,01,2016-03-31,BMI,1773077.0000,66.5100,1.2483,3,14522000,2016,452030,45
001968,01,2016-04-30,BMI,2197789.0000,71.3300,7.2470,4,14538000,2016,452030,45
001968,01,2016-05-31,BMI,1766441.0000,75.0000,5.4255,5,14538000,2016,452030,45
001968,01,2016-06-30,BMI,1503444.0000,73.0300,-2.6267,6,14538000,2016,452030,45
001968,01,2016-07-31,BMI,1211429.0000,69.7400,-4.5050,7,14549000,2016,452030,45
001968,01,2016-08-31,BMI,2325382.0000,65.9900,-5.0473,8,14549000,2016,452030,45
001968,01,2016-09-30,BMI,4018756.0000,33.5100,1.5608,9,29097000,2016,452030,45
001968,01,2016-10-31,BMI,2791839.0000,32.1500,-4.0585,10,29110000,2016,452030,45
001968,01,2016-11-30,BMI,4014557.0000,36.2500,13.1104,11,29110000,2016,452030,45
001968,01,2016-12-31,BMI,2907410.0000,36.9500,1.9310,12,29110000,2016,452030,45
001968,01,2017-01-31,BMI,2681708.0000,38.5500,4.3302,1,29110000,2017,452030,45
001968,01,2017-02-28,BMI,3119784.0000,36.6000,-4.7601,2,29110000,2017,452030,45
001968,01,2017-03-31,BMI,3069313.0000,36.7500,0.4098,3,29112000,2017,452030,45
001968,01,2017-04-30,BMI,2751527.0000,39.7500,8.1633,4,29114000,2017,452030,45
001968,01,2017-05-31,BMI,2960018.0000,39.2000,-1.0943,5,29114000,2017,452030,45
001968,01,2017-06-30,BMI,2005925.0000,39.8500,1.6582,6,29114000,2017,452030,45
001968,01,2017-07-31,BMI,2002289.0000,45.2500,13.5508,7,29113000,2017,452030,45
001968,01,2017-08-31,BMI,1674682.0000,45.9000,1.7238,8,29113000,2017,452030,45
001968,01,2017-09-30,BMI,1949162.0000,49.0000,6.7538,9,29113000,2017,452030,45
001968,01,2017-10-31,BMI,3966862.0000,43.8000,-10.6122,10,29112000,2017,452030,45
001968,01,2017-11-30,BMI,3098123.0000,46.4000,6.2329,11,29112000,2017,452030,45
001968,01,2017-12-31,BMI,2246951.0000,47.8000,3.0172,12,29112000,2017,452030,45
001968,01,2018-01-31,BMI,2152277.0000,48.2000,0.8368,1,29112000,2018,452030,45
001968,01,2018-02-28,BMI,3229082.0000,47.6000,-0.9751,2,29112000,2018,452030,45
001968,01,2018-03-31,BMI,2418727.0000,47.1500,-0.9454,3,29111000,2018,452030,45
001968,01,2018-04-30,BMI,3963047.0000,42.4500,-9.9682,4,29114000,2018,452030,45
001968,01,2018-05-31,BMI,2553551.0000,43.7500,3.3687,5,29114000,2018,452030,45
001968,01,2018-06-30,BMI,2355779.0000,44.7000,2.1714,6,29114000,2018,452030,45
001968,01,2018-07-31,BMI,2822728.0000,52.1500,16.6667,7,29114000,2018,452030,45
001968,01,2018-08-31,BMI,2228468.0000,54.9500,5.6568,8,29114000,2018,452030,45
001968,01,2018-09-30,BMI,2534360.0000,52.9500,-3.6397,9,29114000,2018,452030,45
001968,01,2018-10-31,BMI,2869770.0000,49.1100,-7.2521,10,29113000,2018,452030,45
001968,01,2018-11-30,BMI,2238298.0000,55.5000,13.3170,11,29113000,2018,452030,45
001968,01,2018-12-31,BMI,3156085.0000,49.2100,-11.3333,12,29113000,2018,452030,45
001968,01,2019-01-31,BMI,2047186.0000,52.7900,7.2749,1,29113000,2019,452030,45
001968,01,2019-02-28,BMI,1991426.0000,58.8400,11.7446,2,29112000,2019,452030,45
001968,01,2019-03-31,BMI,3163654.0000,55.6400,-5.4385,3,29120000,2019,452030,45
001968,01,2019-04-30,BMI,3499511.0000,55.4800,-0.2876,4,29120000,2019,452030,45
001968,01,2019-05-31,BMI,3898431.0000,52.8000,-4.5602,5,29115000,2019,452030,45
001968,01,2019-06-30,BMI,2898539.0000,59.6900,13.0492,6,29115000,2019,452030,45
001968,01,2019-07-31,BMI,3409899.0000,53.4900,-10.3870,7,29114000,2019,452030,45
001968,01,2019-08-31,BMI,3471548.0000,51.5800,-3.2529,8,29114000,2019,452030,45
001968,01,2019-09-30,BMI,3436231.0000,53.7000,4.1101,9,29114000,2019,452030,45
001968,01,2019-10-31,BMI,6413191.0000,57.8000,7.6350,10,29111000,2019,452030,45
001968,01,2019-11-30,BMI,3961493.0000,62.0000,7.5606,11,29111000,2019,452030,45
001968,01,2019-12-31,BMI,3754050.0000,64.9300,4.7258,12,29111000,2019,452030,45
001968,01,2020-01-31,BMI,3824194.0000,59.0600,-9.0405,1,29111000,2020,452030,45
001968,01,2020-02-29,BMI,3741884.0000,60.2100,2.2350,2,29111000,2020,452030,45
001968,01,2020-03-31,BMI,6446643.0000,53.6000,-10.9782,3,29113000,2020,452030,45
001968,01,2020-04-30,BMI,4125994.0000,59.0300,10.1306,4,29117000,2020,452030,45
001968,01,2020-05-31,BMI,2961708.0000,61.1900,3.9471,5,29117000,2020,452030,45
001968,01,2020-06-30,BMI,3184215.0000,62.9200,2.8273,6,29117000,2020,452030,45
001968,01,2020-07-31,BMI,3310934.0000,62.6000,-0.5086,7,29117000,2020,452030,45
001968,01,2020-08-31,BMI,2608979.0000,61.6900,-1.1661,8,29118000,2020,452030,45
001968,01,2020-09-30,BMI,3364704.0000,65.3700,5.9653,9,29118000,2020,452030,45
001968,01,2020-10-31,BMI,3948073.0000,73.3400,12.1921,10,29117000,2020,452030,45
001968,01,2020-11-30,BMI,2614396.0000,82.4400,12.6534,11,29117000,2020,452030,45
001968,01,2020-12-31,BMI,3420547.0000,94.0600,14.0951,12,29117000,2020,452030,45
001968,01,2021-01-31,BMI,5390160.0000,91.7100,-2.4984,1,29117000,2021,452030,45
001968,01,2021-02-28,BMI,3270908.0000,108.5900,18.6021,2,29145000,2021,452030,45
001968,01,2021-03-31,BMI,5035646.0000,93.0700,-14.2923,3,29160000,2021,452030,45
001968,01,2021-04-30,BMI,3460291.0000,93.3900,0.3438,4,29176000,2021,452030,45
001968,01,2021-05-31,BMI,3064488.0000,95.5700,2.5270,5,29176000,2021,452030,45
001968,01,2021-06-30,BMI,3249876.0000,98.1200,2.6682,6,29176000,2021,452030,45
001968,01,2021-07-31,BMI,2082198.0000,101.0300,2.9658,7,29176000,2021,452030,45
001968,01,2021-08-31,BMI,1955550.0000,107.0900,6.1962,8,29176000,2021,452030,45
001968,01,2021-09-30,BMI,2438456.0000,101.1400,-5.5561,9,29176000,2021,452030,45
001968,01,2021-10-31,BMI,2125636.0000,102.2500,1.0975,10,29250000,2021,452030,45
001968,01,2021-11-30,BMI,2086935.0000,102.3600,0.3032,11,29250000,2021,452030,45
001968,01,2021-12-31,BMI,2863691.0000,106.5600,4.1032,12,29250000,2021,452030,45
001968,01,2022-01-31,BMI,2796509.0000,101.1700,-5.0582,1,29250000,2022,452030,45
001968,01,2022-02-28,BMI,2649943.0000,99.4100,-1.5420,2,29249000,2022,452030,45
