gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,actq,atq,ceqq,dlcq,dlttq,dpq,dvpq,glaq,glpq,lctq,ltq,niitq,niq,piq,revtq,txtq,uceqq,xintq,capxy,oancfy,costat,dvpspq,prclq
001254,2015-03-31,2015,1,INDL,C,D,STD,MATX,USD,2015Q1,2015Q1,555.0000,1426.9000,385.3000,21.6000,349.6000,16.8000,0.0000,,,223.8000,1041.6000,,25.0000,40.6000,398.2000,15.6000,,4.3000,3.3000,46.3000,A,0.1700,32.410000000000
001254,2015-06-30,2015,2,INDL,C,D,STD,MATX,USD,2015Q2,2015Q2,322.9000,1726.2000,386.9000,24.3000,492.3000,18.8000,0.0000,,,306.7000,1339.3000,,9.9000,29.1000,447.6000,19.2000,,4.6000,12.2000,102.9000,A,0.1700,39.790000000000
001254,2015-09-30,2015,3,INDL,C,D,STD,MATX,USD,2015Q3,2015Q3,348.3000,1736.7000,431.1000,22.2000,459.3000,23.5000,0.0000,,,298.1000,1305.6000,,41.5000,67.1000,544.3000,25.6000,,4.7000,30.3000,159.0000,A,0.1800,35.030000000000
001254,2015-12-31,2015,4,INDL,C,D,STD,MATX,USD,2015Q4,2015Q4,277.9000,1669.8000,450.6000,22.0000,407.9000,24.3000,0.0000,,,297.6000,1219.2000,,26.6000,41.0000,494.8000,14.4000,,4.9000,67.8000,245.3000,A,0.1800,38.270000000000
001254,2016-03-31,2016,1,INDL,C,D,STD,MATX,USD,2016Q1,2016Q1,258.9000,1674.3000,439.7000,21.7000,459.5000,23.8000,0.0000,,,261.2000,1234.6000,,18.1000,29.7000,454.2000,11.6000,,4.9000,30.6000,19.8000,A,0.1800,34.550000000000
001254,2016-06-30,2016,2,INDL,C,D,STD,MATX,USD,2016Q2,2016Q2,253.8000,1688.2000,434.4000,21.8000,441.0000,23.8000,0.0000,,,289.7000,1253.8000,,18.0000,29.6000,467.7000,11.6000,,6.5000,65.8000,78.8000,A,0.1800,30.540000000000
001254,2016-09-30,2016,3,INDL,C,D,STD,MATX,USD,2016Q3,2016Q3,310.4000,2073.1000,459.2000,26.3000,786.1000,24.2000,0.0000,,,290.2000,1613.9000,,25.3000,40.7000,500.4000,15.4000,,6.0000,106.5000,87.5000,A,0.1900,32.080000000000
001254,2016-12-31,2016,4,INDL,C,D,STD,MATX,USD,2016Q4,2016Q4,274.2000,2015.5000,471.5000,31.8000,707.1000,25.3000,0.0000,,,279.2000,1544.0000,,20.0000,30.5000,519.3000,10.5000,,6.7000,179.4000,157.8000,A,0.1900,28.790100000000
001254,2017-03-31,2017,1,INDL,C,D,STD,MATX,USD,2017Q1,2017Q1,287.5000,2034.4000,466.1000,31.6000,748.7000,24.6000,0.0000,,,261.3000,1568.3000,,7.0000,10.1000,474.4000,3.1000,,7.6000,24.2000,4.0000,A,0.1900,30.000000000000
001254,2017-06-30,2017,2,INDL,C,D,STD,MATX,USD,2017Q2,2017Q2,281.9000,2039.3000,475.9000,31.3000,722.6000,25.1000,0.0000,,,276.0000,1563.4000,,24.0000,39.6000,512.5000,15.6000,,7.8000,83.3000,63.4000,A,0.1900,28.070000000000
001254,2017-09-30,2017,3,INDL,C,D,STD,MATX,USD,2017Q3,2017Q3,303.0000,2167.0000,518.6000,29.2000,810.1000,24.6000,0.0000,,,284.5000,1648.4000,,34.1000,55.6000,543.9000,21.5000,,7.9000,215.5000,147.0000,A,0.2000,21.630000000000
001254,2017-12-31,2017,4,INDL,C,D,STD,MATX,USD,2017Q4,2017Q4,266.0000,2247.5000,678.2000,30.8000,826.3000,26.9000,0.0000,,,286.3000,1569.3000,,166.9000,19.9000,516.1000,-147.0000,,8.4000,307.0000,224.9000,A,0.2000,26.550000000000
001254,2018-03-31,2018,1,INDL,C,D,STD,MATX,USD,2018Q1,2018Q1,268.8000,2287.9000,682.4000,36.5000,867.1000,23.6000,0.0000,,,275.6000,1605.5000,,14.2000,24.5000,511.4000,10.3000,,8.7000,70.8000,29.9000,A,0.2000,27.940000000000
001254,2018-06-30,2018,2,INDL,C,D,STD,MATX,USD,2018Q2,2018Q2,283.6000,2381.6000,699.5000,36.3000,896.2000,24.0000,0.0000,,,315.5000,1682.1000,,32.6000,41.4000,557.1000,8.8000,,9.5000,192.3000,119.1000,A,0.2000,27.730000000000
001254,2018-09-30,2018,3,INDL,C,D,STD,MATX,USD,2018Q3,2018Q3,301.1000,2421.2000,743.7000,42.1000,866.0000,23.2000,0.0000,,,325.7000,1677.5000,,41.6000,54.9000,589.4000,13.3000,,9.6000,267.3000,203.0000,A,0.2100,35.020000000000
001254,2018-12-31,2018,4,INDL,C,D,STD,MATX,USD,2018Q4,2018Q4,318.4000,2430.4000,755.3000,42.1000,814.3000,23.6000,0.0000,,,370.8000,1675.1000,,20.6000,26.9000,564.9000,6.3000,,9.6000,401.2000,305.0000,A,0.2100,30.600000000000
001254,2019-03-31,2019,1,INDL,C,D,STD,MATX,USD,2019Q1,2019Q1,306.6000,2676.8000,763.0000,99.5000,1019.6000,23.3000,0.0000,,,411.1000,1913.8000,,12.5000,13.5000,532.4000,1.0000,,9.3000,34.4000,33.4000,A,0.2100,31.400000000000
001254,2019-06-30,2019,2,INDL,C,D,STD,MATX,USD,2019Q2,2019Q2,289.6000,2657.5000,765.2000,111.0000,980.0000,24.2000,0.0000,,,425.4000,1892.3000,,18.4000,25.7000,557.9000,7.3000,,9.4000,69.0000,108.2000,A,0.2100,34.090000000000
001254,2019-09-30,2019,3,INDL,C,D,STD,MATX,USD,2019Q3,2019Q3,299.5000,2753.8000,797.7000,112.8000,1024.6000,25.9000,0.0000,,,437.7000,1956.1000,,36.2000,48.5000,572.1000,12.3000,,9.7000,171.4000,180.4000,A,0.2200,33.690000000000
001254,2019-12-31,2019,4,INDL,C,D,STD,MATX,USD,2019Q4,2019Q4,289.6000,2845.4000,805.7000,115.0000,1108.0000,27.0000,0.0000,,,436.7000,2039.7000,,15.6000,20.1000,540.7000,4.5000,,9.7000,310.3000,248.8000,A,0.2200,34.230000000000
001254,2020-03-31,2020,1,INDL,C,D,STD,MATX,USD,2020Q1,2020Q1,308.7000,2835.9000,800.2000,118.9000,1068.7000,27.0000,0.0000,,,470.9000,2035.7000,,3.8000,5.0000,513.9000,1.2000,,10.5000,35.2000,68.6000,A,0.2200,26.000000000000
001254,2020-06-30,2020,2,INDL,C,D,STD,MATX,USD,2020Q2,2020Q2,273.6000,2777.6000,815.5000,114.0000,1010.0000,28.6000,0.0000,,,449.6000,1962.1000,,32.8000,44.5000,524.1000,11.7000,,9.9000,50.5000,140.6000,A,0.2200,23.750000000000
001254,2020-09-30,2020,3,INDL,C,D,STD,MATX,USD,2020Q3,2020Q3,289.6000,2806.7000,891.8000,117.3000,942.8000,28.9000,0.0000,,,453.6000,1914.9000,,70.9000,95.1000,645.2000,24.2000,,7.7000,111.3000,270.8000,A,0.2300,27.310000000000
